Plot,Location,MAP,elevation,area,year,age,Tree,Species,DBH,Height,Volume,BA,wood,crown,root,total
9,Kalopa,2159,655,0.04,1966,32,27,EF,26.162,24.1,0.518,0.0538,313.2855318,11.12135739,81.3155731,405.7224622
9,Kalopa,2159,655,0.04,1966,32,29,EF,39.37,33.8,1.498,0.1217,1215.714237,27.43669758,219.7051751,1462.85611
9,Kalopa,2159,655,0.04,1966,32,30,EF,12.954,14,0.087,0.0132,30.41762663,2.353261845,14.71513548,47.48602396
9,Kalopa,2159,655,0.04,1966,32,31,EF,16.51,15.8,0.151,0.0214,68.01942075,4.021851313,26.5435423,98.58481436
9,Kalopa,2159,655,0.04,1966,32,32,EF,20.574,21.9,0.309,0.0333,141.162906,6.540208571,45.33035943,193.033474
9,Kalopa,2159,655,0.04,1966,32,33,ER,46.736,25.6,1.534,0.1716,2147.640413,40.07826654,333.4191517,2521.137831
9,Kalopa,2159,655,0.04,1966,32,34,ER,28.448,21.3,0.532,0.0635,413.6609739,13.38262074,99.69005322,526.7336479
9,Kalopa,2159,655,0.04,1966,32,35,ER,44.704,31.4,1.739,0.1569,1853.151493,36.32906234,299.2543037,2188.734859
9,Kalopa,2159,655,0.04,1966,32,36,EF,18.796,12.8,0.154,0.0278,104.588996,5.356257335,36.38523122,146.3304846
9,Kalopa,2159,655,0.04,1966,32,37,EF,14.732,10.1,0.079,0.017,46.6069187,3.126713588,20.11918931,69.85282159
9,Kalopa,2159,655,0.04,1966,32,38,ER,13.97,12.8,0.091,0.0153,39.07727991,2.780515444,17.68135963,59.53915498
9,Kalopa,2159,655,0.04,1971,37,1,ER,37.592,16.2,0.659,0.111,1042.901552,24.77349095,196.3496306,1264.024674
9,Kalopa,2159,655,0.04,1971,37,2,ER,71.882,36.6,4.696,0.4058,8959.546551,103.7566828,949.944446,10013.24768
9,Kalopa,2159,655,0.04,1971,37,3,EF,24.13,20.7,0.387,0.0457,239.5743796,9.301955449,66.80014494,315.67648
9,Kalopa,2159,655,0.04,1971,37,4,ER,22.098,18.3,0.292,0.0384,178.9311573,7.658817799,53.93422208,240.5241972
9,Kalopa,2159,655,0.04,1971,37,5,EF,39.116,32.3,1.408,0.1202,1189.885691,27.04711714,216.2738392,1433.206648
9,Kalopa,2159,655,0.04,1971,37,7,ER,7.62,11.6,0.028,0.0046,5.230484186,0.728607037,4.048671012,10.00776224
9,Kalopa,2159,655,0.04,1971,37,8,EF,28.448,23.2,0.578,0.0635,413.6609739,13.38262074,99.69005322,526.7336479
9,Kalopa,2159,655,0.04,1971,37,9,ER,45.212,31.7,1.795,0.1605,1923.944227,37.24748418,307.5920045,2268.783716
9,Kalopa,2159,655,0.04,1971,37,10,ER,20.32,11.6,0.16,0.0324,135.4630823,6.363137025,43.98133879,185.8075581
9,Kalopa,2159,655,0.04,1971,37,11,EF,63.5,45.4,4.672,0.3167,5937.920179,78.89371346,702.6575188,6719.471411
9,Kalopa,2159,655,0.04,1971,37,12,EF,26.67,26.8,0.597,0.0558,333.9264734,11.60410649,85.20909879,430.7396787
9,Kalopa,2159,655,0.04,1971,37,13,EF,8.89,13.4,0.043,0.0062,8.722840916,1.024264907,5.890159844,15.63726567
9,Kalopa,2159,655,0.04,1971,37,14,ER,16.764,22.3,0.218,0.0221,71.55366178,4.15983663,27.54764311,103.2611415
9,Kalopa,2159,655,0.04,1971,37,15,ER,16.51,18.3,0.175,0.0214,68.01942075,4.021851313,26.5435423,98.58481436
9,Kalopa,2159,655,0.04,1971,37,16,ER,13.208,14.3,0.092,0.0137,32.44179592,2.456424029,15.42672467,50.32494462
9,Kalopa,2159,655,0.04,1971,37,17,ER,43.18,36.9,1.922,0.1464,1651.704781,33.64889764,275.0460254,1960.399704
9,Kalopa,2159,655,0.04,1971,37,18,EF,77.216,57,8.278,0.4683,11361.27233,121.5354945,1130.582222,12613.39005
9,Kalopa,2159,655,0.04,1971,37,19,EF,42.672,29.6,1.508,0.143,1588.108351,32.78044216,267.2426502,1888.131443
9,Kalopa,2159,655,0.04,1971,37,20,EF,15.494,14,0.12,0.0189,55.09552441,3.495265898,22.74446656,81.33525686
9,Kalopa,2159,655,0.04,1971,37,21,EF,41.402,31.1,1.504,0.1346,1436.630321,30.663552,248.3097946,1715.603668
9,Kalopa,2159,655,0.04,1971,37,22,EF,42.672,37.8,1.935,0.143,1588.108351,32.78044216,267.2426502,1888.131443
9,Kalopa,2159,655,0.04,1971,37,23,EF,26.416,22.6,0.494,0.0548,323.4910039,11.36132838,83.24893339,418.1012656
9,Kalopa,2159,655,0.04,1971,37,24,EF,25.908,23.2,0.49,0.0527,303.3071473,10.88418785,79.40890629,393.6002414
9,Kalopa,2159,655,0.04,1971,37,25,EF,35.56,28.3,1.048,0.0993,867.3064802,21.91108301,171.5287724,1060.746336
9,Kalopa,2159,655,0.04,1971,37,26,EF,59.69,47.2,4.366,0.2798,4835.907085,68.8126671,604.4921115,5509.211864
9,Kalopa,2159,655,0.04,1971,37,27,EF,26.162,24.1,0.518,0.0538,313.2855318,11.12135739,81.3155731,405.7224622
9,Kalopa,2159,655,0.04,1971,37,29,EF,39.37,37.2,1.647,0.1217,1215.714237,27.43669758,219.7051751,1462.85611
